English,Reference,marian_translation,mbart_translation,mt5_translation
A black box in your car?,आपकी कार में ब्लैक बॉक्स?,अपनी कार में एक ब्लैक बॉक्स?,A black box in your car?,<extra_id_0>
"As America's road planners struggle to find the cash to mend a crumbling highway system, many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.","जबकि अमेरिका के सड़क योजनाकार, ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं, वहीं बहुत-से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं, जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है।","के रूप में अमेरिका के सड़क योजनार एक टूटी हुई सड़क प्रणाली को सुधारने के लिए नकदी को खोजने के लिए संघर्ष कर रहे हैं, कई एक छोटे से काले बॉक्स में एक समाधान देखने के लिए शुरू कर रहे हैं कि अपनी कार के माध्यम से फिट.","As America's road planners struggle to find the cash to mend a crumbling highway system, many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.",<extra_id_0>.
"The devices, which track every mile a motorist drives and transmit that information to bureaucrats, are at the center of a controversial attempt in Washington and state planning offices to overhaul the outdated system for funding America's major roads.","यह डिवाइस, जो मोटर-चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है, आजकल अमेरिका की प्रमुख सड़कों का वित्त-पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है।","ये उपकरण, जो हर मील का ट्रैक करते हैं एक मोटर ड्राइव और ट्रांसमीटर के लिए जानकारी भेजने वाले हैं, एक विवादपूर्ण प्रयास के केंद्र में कर रहे हैं वॉशिंगटन और राज्य योजना कार्यालयों के लिए अमेरिका के मुख्य सड़कों पर पैसा जमा करने के लिए।","The devices, which track every mile a motorist drives and transmit that information to bureaucrats, are at the center of a controversial attempt in Washington and state planning offices to overhaul the outdated system for funding America's major roads.",<extra_id_0>.
The usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances.,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है।,आम तौर पर सड़क योजना के ठंडे रंग में बहस और रंग - बिरंगी ब्याह की वजह से अचानक बहस छिड़ जाती है ।,The usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances.,<extra_id_0>
"Libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive, and possibly where you drive them - then use the information to draw up a tax bill.","आपने द्वारा ड्राइव किए गए मील, तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं।",कुछ देशों में ऐसे भी लोग हैं जो एक - दूसरे को सहयोग देने के लिए सरकार का इस्तेमाल करते हैं ।,"Libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive, and possibly where you drive them - then use the information to draw up a tax bill.",<extra_id_0>
The tea party is aghast.,चाय पार्टी भौचक्की है।,चाय पार्टी कम हो गई है.,The tea party is aghast.,<extra_id_0>
"The American Civil Liberties Union is deeply concerned, too, raising a variety of privacy issues.",अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है।,अमरीकी नागरिक संघ को भी अलग - अलग निजी मामलों की चिंता रहती है ।,"The American Civil Liberties Union is deeply concerned, too, raising a variety of privacy issues.",<extra_id_0>
"And while Congress can't agree on whether to proceed, several states are not waiting.","जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं, बहुत से राज्य प्रतीक्षा नहीं कर रहे।","और जबकि कांग्रेस आगे बढ़ने पर सहमत नहीं हो सकता है, कई राज्य इंतजार नहीं कर रहे हैं.","And while Congress can't agree on whether to proceed, several states are not waiting.",<extra_id_0>
"They are exploring how, over the next decade, they can move to a system in which drivers pay per mile of road they roll over.","वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं, जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे।","वे कल्पना कर रहे हैं कि अगले दस सालों के दौरान, वे एक ऐसी व्यवस्था में जा सकते हैं जिसमें ड्राइवर हर मील की दूरी पर गाड़ी चलाते हैं ।","They are exploring how, over the next decade, they can move to a system in which drivers pay per mile of road they roll over.",<extra_id_0>.
"Thousands of motorists have already taken the black boxes, some of which have GPS monitoring, for a test drive.","हजारों मोटर-चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है, जिसमें से कुछ में जी.पी.एस. मॉनीटरिंग है।","हज़ारों मोटर - चालकों ने पहले ही ब्लैक बक्से ले लिए हैं, जिनमें से कुछ के पास जीपीएस निगरानी है, एक परीक्षण ड्राइव के लिए.","Thousands of motorists have already taken the black boxes, some of which have GPS monitoring, for a test drive.",<extra_id_0>
